notes_clean,injured,activated,days_injured,injury_type,injury_duration,player_name,year_end,position,height,weight,college,career_length,prior_injuries
placed on il with sprained right ankle,2022-02-03,2022-02-12,9.0,joint,medium,Aaron Wiggins,2022,G,6-6,200.0,Maryland,1,0
placed on il with right knee injury,2006-04-14,2006-11-14,214.0,joint,long,Aaron Williams,2008,F-C,6-9,220.0,Xavier,15,0
placed on il with strained right calf,2007-11-01,2007-11-06,5.0,muscle,short,Aaron Williams,2008,F-C,6-9,220.0,Xavier,15,1
placed on il with illnessflu,2018-01-16,2018-01-18,2.0,illness,short,Abdel Nader,2022,F,6-5,225.0,"Northern Illinois, Iowa State",5,0
placed on il with sprained left ankle,2020-01-15,2020-01-29,14.0,joint,medium,Abdel Nader,2022,F,6-5,225.0,"Northern Illinois, Iowa State",5,1
placed on il with sore right knee,2021-03-23,2021-06-25,94.0,joint,long,Abdel Nader,2022,F,6-5,225.0,"Northern Illinois, Iowa State",5,2
placed on il with right knee injury,2021-12-10,2022-02-10,62.0,joint,long,Abdel Nader,2022,F,6-5,225.0,"Northern Illinois, Iowa State",5,3
placed on il with sprained right wrist,1995-01-09,1995-01-20,11.0,joint,medium,Acie Earl,1997,F-C,6-10,240.0,Iowa,4,0
placed on il with strained lower back,1996-02-19,1996-03-04,14.0,muscle,medium,Acie Earl,1997,F-C,6-10,240.0,Iowa,4,1
placed on il with left ankle injury,2007-11-16,2007-12-03,17.0,joint,medium,Acie Law,2011,G,6-3,195.0,Texas A&M,4,0
placed on il with flu,2008-12-05,2008-12-06,1.0,illness,short,Acie Law,2011,G,6-3,195.0,Texas A&M,4,1
placed on il with flu,2010-11-26,2010-11-30,4.0,illness,short,Acie Law,2011,G,6-3,195.0,Texas A&M,4,2
placed on il with sore left knee,2011-01-22,2011-01-24,2.0,joint,short,Acie Law,2011,G,6-3,195.0,Texas A&M,4,3
placed on il with sprained right wrist,2011-02-03,2011-02-21,18.0,joint,medium,Acie Law,2011,G,6-3,195.0,Texas A&M,4,4
placed on il with left knee tendinitis,2002-10-28,2002-11-11,14.0,joint,medium,Adam Harrington,2003,G,6-5,200.0,"NC State, Auburn",1,0
placed on il with sprained left knee,2002-11-30,2002-12-10,10.0,joint,medium,Adam Harrington,2003,G,6-5,200.0,"NC State, Auburn",1,1
placed on il with bruised left knee,2003-04-02,,,joint,unknown,Adam Harrington,2003,G,6-5,200.0,"NC State, Auburn",1,2
placed on ir with bruised left hamstring,1997-02-22,1997-03-05,11.0,muscle,medium,Adam Keefe,2001,F,6-9,230.0,Stanford,9,0
placed on il with concussion,2021-01-22,2021-02-08,17.0,concussion,medium,Adam Mokoka,2021,G,6-4,190.0,Skipped college,2,0
placed on il with sprained left knee,2007-04-10,2007-04-18,8.0,joint,medium,Adam Morrison,2010,F,6-8,205.0,Gonzaga,4,0
placed on il with torn acl in left knee,2007-10-29,2009-02-17,477.0,joint,long,Adam Morrison,2010,F,6-8,205.0,Gonzaga,4,1
placed on il with flu,2010-01-15,2010-01-22,7.0,illness,short,Adam Morrison,2010,F,6-8,205.0,Gonzaga,4,2
placed on il with bruised left knee,2022-04-03,2022-04-07,4.0,joint,short,Admiral Schofield,2022,G-F,6-5,241.0,Tennessee,3,0
placed on il with concussion,2023-03-07,2023-03-09,2.0,concussion,short,Admiral Schofield,2022,G-F,6-5,241.0,Tennessee,3,1
placed on ir with ligament damage in right ring finger,2000-12-01,2000-12-12,11.0,joint,medium,Adonal Foyle,2009,C,6-10,250.0,Colgate,12,0
placed on il recovering from surgery on left knee,2003-12-16,2004-01-15,30.0,joint,medium,Adonal Foyle,2009,C,6-10,250.0,Colgate,12,1
placed on il recovering from arthroscopic surgery on right knee,2009-10-28,2009-12-16,49.0,joint,long,Adonal Foyle,2009,C,6-10,250.0,Colgate,12,2
placed on il with fractured left hand,2017-10-18,2017-12-09,52.0,bone,long,Adreian Payne,2018,F-C,6-10,237.0,Michigan State,4,0
placed on il with right knee tendinitis,1995-12-02,1995-12-14,12.0,joint,medium,Adrian Caldwell,1998,F-C,6-8,265.0,"SMU, Lamar",9,0
placed on il with sprained right ankle,2000-01-09,2000-01-25,16.0,joint,medium,Adrian Griffin,2008,G-F,6-5,217.0,Seton Hall,9,0
placed on il with left knee  right knee p tendinitis,2003-02-20,2003-03-01,9.0,joint,medium,Adrian Griffin,2008,G-F,6-5,217.0,Seton Hall,9,1
placed on il recovering from surgery on right knee,2003-10-27,2004-02-04,100.0,joint,long,Adrian Griffin,2008,G-F,6-5,217.0,Seton Hall,9,2
placed on il with right knee injury,2004-03-26,2006-04-02,737.0,joint,long,Adrian Griffin,2008,G-F,6-5,217.0,Seton Hall,9,3
placed on il with strained left hamstring,2006-03-31,2006-04-02,2.0,muscle,short,Adrian Griffin,2008,G-F,6-5,217.0,Seton Hall,9,4
placed on il with strained calf,2006-11-14,2006-11-28,14.0,muscle,medium,Adrian Griffin,2008,G-F,6-5,217.0,Seton Hall,9,5
placed on disabled list with knee injury,1962-11-14,,,joint,unknown,Al Ferrari,1963,G-F,6-4,190.0,Michigan State,8,0
placed on il with sprained lower back,2000-02-01,2000-02-21,20.0,joint,medium,Al Harrington,2014,F,6-9,230.0,Skipped college,16,0
placed on il with strained left calf,2000-02-28,2000-03-17,18.0,muscle,medium,Al Harrington,2014,F,6-9,230.0,Skipped college,16,1
placed on il with torn acl in right knee,2002-01-25,2005-02-22,1124.0,joint,long,Al Harrington,2014,F,6-9,230.0,Skipped college,16,2
placed on il with left knee tendinitis,2005-02-07,2005-02-22,15.0,joint,medium,Al Harrington,2014,F,6-9,230.0,Skipped college,16,3
placed on il with right knee tendinitis,2005-04-07,2006-11-21,593.0,joint,long,Al Harrington,2014,F,6-9,230.0,Skipped college,16,4
placed on il with stomach illness,2006-12-11,2006-12-13,2.0,illness,short,Al Harrington,2014,F,6-9,230.0,Skipped college,16,5
placed on il with strained left calf,2010-01-07,2010-01-11,4.0,muscle,short,Al Harrington,2014,F,6-9,230.0,Skipped college,16,6
placed on il with strained right achilles tendon,2011-03-18,2011-03-19,1.0,muscle,short,Al Harrington,2014,F,6-9,230.0,Skipped college,16,7
placed on il with right knee rehab  surgery on left knee cbc,2012-11-02,2013-02-26,116.0,joint,long,Al Harrington,2014,F,6-9,230.0,Skipped college,16,8
placed on il recovering from arthroscopic surgery on right knee,2013-12-09,2014-02-22,75.0,joint,long,Al Harrington,2014,F,6-9,230.0,Skipped college,16,9
placed on il with sprained right ankle,2008-11-19,2008-11-21,2.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,0
placed on il with bone bruise in right knee,2009-01-11,2009-02-04,24.0,joint,medium,Al Horford,2022,C-F,6-9,240.0,Florida,15,1
placed on il with sprained right ankle,2009-05-07,2009-05-09,2.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,2
placed on il with sore right ankle,2011-01-21,2011-01-26,5.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,3
placed on il with sprainedsore left ankle,2011-03-12,2011-03-15,3.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,4
placed on il with torn left pectoral muscle,2012-01-12,2012-05-06,115.0,muscle,long,Al Horford,2022,C-F,6-9,240.0,Florida,15,5
placed on il with torn right pectoral muscle out for season,2013-12-28,2014-04-19,112.0,muscle,long,Al Horford,2022,C-F,6-9,240.0,Florida,15,6
placed on il with concussion,2016-11-02,2016-11-19,17.0,concussion,medium,Al Horford,2022,C-F,6-9,240.0,Florida,15,7
placed on il with sprained right elbow,2017-03-05,2017-03-08,3.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,8
placed on il with concussion,2017-11-08,2017-11-12,4.0,concussion,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,9
placed on il with illness,2018-03-11,2018-03-16,5.0,illness,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,10
placed on il with sore left knee,2018-11-23,2018-11-24,1.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,11
placed on il with sore left knee,2018-12-10,2018-12-23,13.0,joint,medium,Al Horford,2022,C-F,6-9,240.0,Florida,15,12
placed on il with sore left knee,2019-03-23,2019-03-26,3.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,13
placed on il with sore left knee,2019-03-30,2019-04-01,2.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,14
placed on il with sore left knee,2019-04-09,2019-04-14,5.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,15
placed on il with sore left knee,2019-12-13,2019-12-15,2.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,16
placed on il with sore left knee,2020-01-30,2020-02-01,2.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,17
placed on il with strained left adductor,2021-10-25,2021-10-27,2.0,muscle,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,18
placed on il with swollen right knee,2023-02-08,2023-02-12,4.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,19
placed on il with swollen right knee,2023-02-14,2023-02-15,1.0,joint,short,Al Horford,2022,C-F,6-9,240.0,Florida,15,20
placed on il with a sprained right ankle,2005-01-28,2005-02-16,19.0,joint,medium,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,0
placed on il with sprained right ankle,2006-02-10,2006-03-01,19.0,joint,medium,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,1
placed on il with sprained right ankle,2006-03-24,2006-11-22,243.0,joint,long,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,2
placed on il with torn acl in right knee out for season,2009-02-17,2010-03-08,384.0,joint,long,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,3
placed on il with sprained left ankle,2013-03-06,2013-03-08,2.0,joint,short,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,4
placed on il with sprained right ankle,2013-11-01,2013-11-11,10.0,joint,medium,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,5
placed on il with ankle injury,2013-11-15,2013-11-22,7.0,joint,short,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,6
placed on il with strained adductor muscle in left groin,2014-12-31,2015-01-19,19.0,muscle,medium,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,7
placed on il with strained right knee  right calf injury p,2015-03-13,2015-03-16,3.0,muscle,short,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,8
placed on il with strained left calf,2015-12-02,2015-12-16,14.0,muscle,medium,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,9
placed on il recovering from surgery on right knee to repair torn lateral meniscus,2016-01-01,2016-02-19,49.0,joint,long,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,10
placed on il with bruised right quadriceps,2016-04-03,2016-04-05,2.0,muscle,short,Al Jefferson,2018,C-F,6-10,289.0,Skipped college,14,11
placed on il with sprained right ankle,2007-11-17,2007-11-21,4.0,joint,short,Al Thornton,2011,F,6-8,220.0,Florida State,4,0
placed on il with strained arch in right foot,2009-02-23,2009-02-27,4.0,muscle,short,Al Thornton,2011,F,6-8,220.0,Florida State,4,1
placed on il with sore right shoulder,2009-03-22,2009-03-23,1.0,joint,short,Al Thornton,2011,F,6-8,220.0,Florida State,4,2
placed on il with sprained left ankle,2010-01-18,2010-01-20,2.0,joint,short,Al Thornton,2011,F,6-8,220.0,Florida State,4,3
placed on il with sprained left ankle,2010-11-25,2010-12-01,6.0,joint,short,Al Thornton,2011,F,6-8,220.0,Florida State,4,4
placed on il with sprained left ankle,2011-02-25,2011-03-01,4.0,joint,short,Al Thornton,2011,F,6-8,220.0,Florida State,4,5
placed on il with bruisedsprained left shoulder,2015-03-13,2015-03-18,5.0,joint,short,Al-Farouq Aminu,2021,F,6-8,220.0,Wake Forest,11,0
placed on il with sprained right ankle,2017-11-02,2017-11-30,28.0,joint,medium,Al-Farouq Aminu,2021,F,6-8,220.0,Wake Forest,11,1
placed on il with right knee injury out for season,2019-12-01,2021-02-09,436.0,joint,long,Al-Farouq Aminu,2021,F,6-8,220.0,Wake Forest,11,2
placed on il with recovering from surgery on right knee,2020-12-23,2021-02-09,48.0,joint,long,Al-Farouq Aminu,2021,F,6-8,220.0,Wake Forest,11,3
placed on il with surgery on right knee,2005-11-03,2005-11-12,9.0,joint,medium,Alan Anderson,2017,G-F,6-6,220.0,Michigan State,12,0
placed on il recovering from surgery on left ankle to remove bone fragment,2015-10-28,2016-02-24,119.0,joint,long,Alan Anderson,2017,G-F,6-6,220.0,Michigan State,12,1
placed on il with ankle injury,2016-03-12,2016-03-14,2.0,joint,short,Alan Anderson,2017,G-F,6-6,220.0,Michigan State,12,2
placed on il with sprained left ankle,2016-03-16,2016-03-19,3.0,joint,short,Alan Anderson,2017,G-F,6-6,220.0,Michigan State,12,3
placed on il with sore ankle,2016-03-21,2016-04-08,18.0,joint,medium,Alan Anderson,2017,G-F,6-6,220.0,Michigan State,12,4
sprained lower back daytoday,1995-12-06,1997-02-15,437.0,joint,long,Alan Henderson,2007,F,6-9,235.0,Indiana,12,0
placed on ir with acute viral pancreatitis  gastrointestinal flu p date 1112 per p,1996-11-13,1997-02-15,94.0,illness,long,Alan Henderson,2007,F,6-9,235.0,Indiana,12,1
placed on il with sprained left shoulder,2000-12-19,2001-01-06,18.0,joint,medium,Alan Henderson,2007,F,6-9,235.0,Indiana,12,2
placed on il with right knee inflammation,2001-10-29,2002-02-15,109.0,joint,long,Alan Henderson,2007,F,6-9,235.0,Indiana,12,3
placed on il with strained lower back,2004-02-19,2004-07-01,133.0,muscle,long,Alan Henderson,2007,F,6-9,235.0,Indiana,12,4
placed on il recovering from surgery on right knee to repair torn meniscus,2017-10-18,2018-03-26,159.0,joint,long,Alan Williams,2019,F-C,6-8,265.0,UC Santa Barbara,4,0
placed on il with sore right knee out for season,2018-04-08,2019-03-16,342.0,joint,long,Alan Williams,2019,F-C,6-8,265.0,UC Santa Barbara,4,1
placed on il with hamstring injury,2008-10-29,2009-01-02,65.0,muscle,long,Alando Tucker,2010,F,6-6,205.0,Wisconsin,3,0
placed on il with pulled groin,1984-12-12,,,muscle,unknown,Albert King,1992,F-G,6-6,190.0,Maryland,11,0
placed on il with right ankle injury,2014-03-22,2014-03-30,8.0,joint,medium,Alec Burks,2022,G,6-6,214.0,Colorado,11,0
placed on il with left shoulder injury,2014-12-05,2014-12-08,3.0,joint,short,Alec Burks,2022,G,6-6,214.0,Colorado,11,1
placed on il with left shoulder injury out for season,2014-12-27,2016-04-08,468.0,joint,long,Alec Burks,2022,G,6-6,214.0,Colorado,11,2
placed on il with fractured fibula in left leg,2015-12-28,2016-04-08,102.0,bone,long,Alec Burks,2022,G,6-6,214.0,Colorado,11,3
placed on il with sore left knee out for season,2017-04-18,2019-10-30,925.0,joint,long,Alec Burks,2022,G,6-6,214.0,Colorado,11,4
placed on il with sprained right ankle,2019-10-24,2019-10-30,6.0,joint,short,Alec Burks,2022,G,6-6,214.0,Colorado,11,5
placed on il with sprained left ankle,2021-01-02,2021-01-21,19.0,joint,medium,Alec Burks,2022,G,6-6,214.0,Colorado,11,6
placed on il with bruised left knee,2021-05-07,2021-05-13,6.0,joint,short,Alec Burks,2022,G,6-6,214.0,Colorado,11,7
placed on il with sprained right ankle,1996-10-30,1996-11-26,27.0,joint,medium,Aleksandar Djordjevic,1997,G,6-2,198.0,Skipped college,1,0
placed on il with flu,1996-12-20,1996-12-27,7.0,illness,short,Aleksandar Djordjevic,1997,G,6-2,198.0,Skipped college,1,1
placed on il with torn legament in left knee back surgery per stats,1999-11-05,2000-04-18,165.0,joint,long,Aleksandar Radojevic,2005,C,7-3,250.0,Barton County Community College,6,0
placed on il with left knee tendinitis,2004-11-01,2004-11-30,29.0,joint,medium,Aleksandar Radojevic,2005,C,7-3,250.0,Barton County Community College,6,1
placed on il with concussion,2021-01-03,2021-01-08,5.0,concussion,short,Aleksej Pokusevski,2022,F,7-0,190.0,Skipped college,2,0
placed on il with bruised left knee,2021-05-01,2021-05-02,1.0,joint,short,Aleksej Pokusevski,2022,F,7-0,190.0,Skipped college,2,1
placed on il with bruised left knee,2021-05-04,2021-05-09,5.0,joint,short,Aleksej Pokusevski,2022,F,7-0,190.0,Skipped college,2,2
placed on il with bursitis in right shoulder,2022-11-05,2022-11-09,4.0,joint,short,Aleksej Pokusevski,2022,F,7-0,190.0,Skipped college,2,3
placed on il with sprained left ankle,2022-11-21,2022-11-23,2.0,joint,short,Aleksej Pokusevski,2022,F,7-0,190.0,Skipped college,2,4
placed on il with sprained knee,2017-04-05,2017-04-11,6.0,joint,short,Alex Abrines,2018,G-F,6-6,190.0,Skipped college,2,0
placed on il with strained right groin,2018-01-03,2018-01-07,4.0,muscle,short,Alex Abrines,2018,G-F,6-6,190.0,Skipped college,2,1
placed on il with concussion,2018-04-11,2018-04-15,4.0,concussion,short,Alex Abrines,2018,G-F,6-6,190.0,Skipped college,2,2
placed on il with illness,2018-12-28,2019-01-21,24.0,illness,medium,Alex Abrines,2018,G-F,6-6,190.0,Skipped college,2,3
placed on il with right hamstring injury,2020-03-03,2020-03-06,3.0,muscle,short,Alex Caruso,2022,G,6-4,186.0,Texas A&M,5,0
placed on il with strained right hamstring,2021-12-06,2021-12-11,5.0,muscle,short,Alex Caruso,2022,G,6-4,186.0,Texas A&M,5,1
placed on il with sprained left foot,2021-12-21,2022-01-19,29.0,joint,medium,Alex Caruso,2022,G,6-4,186.0,Texas A&M,5,2
placed on il with fractured right wrist,2022-01-24,2022-03-12,47.0,bone,long,Alex Caruso,2022,G,6-4,186.0,Texas A&M,5,3
placed on il with concussion protocol out for season,2022-04-27,2022-12-14,231.0,concussion,long,Alex Caruso,2022,G,6-4,186.0,Texas A&M,5,4
placed on il with sprained right foot,2023-02-06,2023-02-06,0.0,joint,short,Alex Caruso,2022,G,6-4,186.0,Texas A&M,5,5
placed on il with illness,2023-03-15,2023-03-17,2.0,illness,short,Alex Caruso,2022,G,6-4,186.0,Texas A&M,5,6
placed on il with sprained left foot,2023-03-24,2023-03-24,0.0,joint,short,Alex Caruso,2022,G,6-4,186.0,Texas A&M,5,7
placed on il with broken toe on left foot,2003-10-27,2004-01-05,70.0,bone,long,Alex Garcia,2005,G,6-3,220.0,Skipped college,2,0
placed on il with bruised right knee,2004-01-09,,,joint,unknown,Alex Garcia,2005,G,6-3,220.0,Skipped college,2,1
placed on il with torn acl in left knee out for season,2004-12-21,,,joint,unknown,Alex Garcia,2005,G,6-3,220.0,Skipped college,2,2
placed on il with left ankle injury,2013-11-30,2014-01-07,38.0,joint,medium,Alex Len,2022,C,7-0,250.0,Maryland,9,0
placed on il with fractured nose out for season,2015-04-04,2015-04-07,3.0,bone,short,Alex Len,2022,C,7-0,250.0,Maryland,9,1
placed on il with sprained left ankle,2017-10-18,2017-10-20,2.0,joint,short,Alex Len,2022,C,7-0,250.0,Maryland,9,2
placed on il with sore right ankle,2018-01-26,2018-01-29,3.0,joint,short,Alex Len,2022,C,7-0,250.0,Maryland,9,3
placed on il with sore right ankle,2018-01-31,2018-02-04,4.0,joint,short,Alex Len,2022,C,7-0,250.0,Maryland,9,4
placed on il with sprained left ankle,2019-12-27,2019-12-28,1.0,joint,short,Alex Len,2022,C,7-0,250.0,Maryland,9,5
placed on il with left knee injury,2018-10-26,2018-11-01,6.0,joint,short,Alex Poythress,2019,F,6-9,235.0,Kentucky,3,0
placed on il with left ankle injury,2018-11-19,2018-12-23,34.0,joint,medium,Alex Poythress,2019,F,6-9,235.0,Kentucky,3,1
placed on il with sprained right ankle out for season,2019-03-09,,,joint,unknown,Alex Poythress,2019,F,6-9,235.0,Kentucky,3,2
placed on il with sore right knee,2017-10-17,,,joint,unknown,Alexis Ajinca,2017,C,7-2,248.0,Skipped college,9,0
placed on il with right knee injury out for season,2018-04-14,,,joint,unknown,Alexis Ajinca,2017,C,7-2,248.0,Skipped college,9,1
placed on il with swollen right knee,2018-01-11,2018-01-19,8.0,joint,medium,Alfonzo McKinnie,2022,F,6-7,215.0,Green Bay,5,0
placed on il with illness,2019-12-17,2019-12-18,1.0,illness,short,Alize Johnson,2022,F,6-7,212.0,Missouri State,4,0
placed on il with sore left knee,2004-02-03,2004-02-29,26.0,joint,medium,Allan Houston,2005,G,6-6,200.0,Tennessee,12,0
placed on il with sore left knee,2004-11-01,2004-12-07,36.0,joint,medium,Allan Houston,2005,G,6-6,200.0,Tennessee,12,1
placed on il with sore left knee patellofemoral arthritis in left knee,2005-01-28,,,joint,unknown,Allan Houston,2005,G,6-6,200.0,Tennessee,12,2
placed on il with illness,2016-02-06,2016-02-08,2.0,illness,short,Allen Crabbe,2020,G-F,6-5,212.0,California,7,0
placed on il with illness,2018-03-16,2018-03-19,3.0,illness,short,Allen Crabbe,2020,G-F,6-5,212.0,California,7,1
placed on il with illness,2018-04-03,2018-04-05,2.0,illness,short,Allen Crabbe,2020,G-F,6-5,212.0,California,7,2
placed on il with sprained left ankle,2018-10-17,2018-10-19,2.0,joint,short,Allen Crabbe,2020,G-F,6-5,212.0,California,7,3
placed on il with sore right knee,2018-12-14,2019-02-06,54.0,joint,long,Allen Crabbe,2020,G-F,6-5,212.0,California,7,4
placed on il with sore right knee out for season,2019-03-16,2019-11-10,239.0,joint,long,Allen Crabbe,2020,G-F,6-5,212.0,California,7,5
